1007000947	pantothenate enriched soil
1007000963	food processing factory
1007000995	aviation fuel
1007001011	warehouse
1007001043	grassland soil
1007001059	limed soil
1007001075	ornithogenic soil
1007001091	acid dune sand
1007001107	strand crack
1007001123	anthropogenic environmental material
1007001283	dry stream valley
1007001299	coastal upwelling
1007001315	marine salt marsh biome
1007001331	oceanic abyssopelagic zone biome
1007001347	marine basaltic hydrothermal vent biome
1007001363	terrigenous sediment
1007001379	coastal buoyancy current front
1007001395	cold surface current
1007001411	sandy sediment
1007001427	hydrothermal fluid
1007001443	marine subtidal rocky reef
1007001475	temperate desert biome
1007001491	mixed forest biome
1007001507	tropical shrubland biome
1007001523	arid
1007001539	village biome
1007001587	siliceous ooze
1007001635	industrial wastewate treatment plant
1007000004	mine tailing
1007000020	saline lake
1007000036	marsh
1007000052	hot spring
1007000068	cave
1007000084	hill
1007000100	artificial island
1007000116	orchard
1007000132	glacial feature
1007000148	ocean current
1007000164	coffee plantation
1007000180	mesa
1007000196	sinkhole
1007000212	bathypelagic zone
1007000228	vertically mixed estuary
1007000244	freshwater wetland
1007000260	lacustrine plain
1007000276	ocean trench
1007000292	drainage basin
1007000308	icefall
1007000324	live cave
1007000340	piece of rock
1007000356	monogenetic volcanic field
1007000372	complex volcano
1007000404	stratovolcano
1007000420	tombolo
1007000436	tunnel valley
1007000452	ribbon lake
1007000468	hydroelectric dam
1007000484	polynya
1007000500	beaver dam
1007000516	hammock
1007000532	intermittent saline evaporation pond
1007000548	gravel field
1007000564	archeological site
1007000612	sediment
1007000628	high pressure habitat
1007000660	sandstone
1007000676	alkaline hot spring
1007000692	treated wood
1007000708	ocean water
1007000724	platinum mine
1007000740	oil tank
1007000756	sandy beach
1007000788	andosol
1007000804	luvisol
1007000820	waste
1007000900	cow shed
1007000948	testosterone enriched soil
1007000964	bakery
1007000980	farmyard manure
1007001012	tobacco warehouse
1007001028	travertine
1007001044	jungle soil
1007001060	manured soil
1007001076	leafy wood soil
1007001092	rocky sand
1007001108	fomite
1007001284	dry river valley
1007001300	microbial feature
1007001316	marine pelagic biome
1007001332	oceanic hadal pelagic zone biome
1007001348	marine bulk water
1007001364	oceanic front
1007001380	tidal mixing front
1007001396	western boundary current
1007001412	silty sediment
1007001428	nitrate-reducing sediment
1007001444	manganese-reducing sediment
1007001476	tropical desert biome
1007001492	mediterranean forest biome
1007001508	temperate shrubland biome
1007001524	lava
1007001540	rangeland biome
1007001588	red clay
1007001636	agricultural wastewater treatment plant
1007000005	administrative region
1007000021	lake
1007000037	irrigation canal
1007000053	crater lake
1007000069	tunnel
1007000085	mountain pass
1007000101	valley
1007000117	vineyard
1007000133	ice sheet
1007000149	riffle
1007000165	rubber plantation
1007000181	mound
1007000197	alkaline flat
1007000213	abyssalpelagic zone
1007000229	inverse estuary
1007000245	abyssal plain
1007000261	prairie
1007000277	drumlin
1007000293	watershed
1007000309	dune slack
1007000325	outflow cave
1007000341	grain of sand
1007000357	pyroclastic cone
1007000373	pyroclastic shield volcano
1007000389	intermittent wetland
1007000421	wave-cut platform
1007000437	Nye channel
1007000453	liman
1007000469	research facility
1007000485	sea shore
1007000501	bed
1007000517	lost stream
1007000533	landfill
1007000549	intermittent water body
1007000565	sports facility
1007000613	dust
1007000629	haline habitat
1007000645	wood
1007000661	shale
1007000677	acid hot spring
1007000693	arsenate treated wood
1007000709	biofilter
1007000725	gold mine
1007000741	underground physiographic feature
1007000757	sea ice
1007000789	albeluvisol
1007000805	phaeozem
1007000821	agricultural waste
1007000837	adobe soil
1007000901	piggery
1007000933	manufactured product
1007000949	kynurenate enriched soil
1007000981	brewery
1007001013	anaerobic digester sludge
1007001029	sawmill
1007001045	sawah soil
1007001061	orchid soil
1007001077	spruce forest soil
1007001093	desert sand
1007001109	midden
1007001125	agricultural environmental material
1007001301	microbial mat
1007001317	marine benthic biome
1007001333	oceanic benthopelagic zone biome
1007001349	estuarine bulk water
1007001365	marine Taylor column
1007001381	mid-shelf fronts
1007001397	eastern boundary current
1007001413	clay sediment
1007001429	drop stone
1007001445	iron-reducing sediment
1007001477	subtropical desert biome
1007001493	tropical broadleaf forest biome
1007001509	montane shrubland biome
1007001525	felsic lava
1007001541	dense settlement biome
1007001589	calcareous ooze
1007001637	algal bloom
1007000006	first-order administrative region
1007000022	freshwater lake
1007000038	ditch
1007000054	freshwater marsh
1007000070	distributary
1007000086	alpine glacier
1007000102	delta
1007000118	plantation
1007000134	glacier
1007000150	artificial reef
1007000166	asphalt lake
1007000182	nunatak
1007000198	endorheic lake
1007000214	mesopelagic zone
1007000230	intermittent estuary
1007000246	maar
1007000262	savanna
1007000278	dry lake
1007000294	continental divide
1007000326	polje
1007000342	piece of gravel
1007000358	lock
1007000374	geothermal field
1007000390	mountain spur
1007000406	mid-ocean ridge
1007000422	limestone pavement
1007000438	alas
1007000454	turlough
1007000470	irrigation dam
1007000486	shoreline
1007000502	intermittent saline lake
1007000518	ditch mouth
1007000534	pothole
1007000550	range of seamounts
1007000566	winter sports facility
1007000614	terrestrial habitat
1007000630	high temperature habitat
1007000646	ground water
1007000662	raw primary sludge
1007000678	alkaline salt lake
1007000694	brackish estuary
1007000710	compost biofilter
1007000726	coal mine
1007000742	oil reservoir
1007000758	cis-dichloroethane contaminated sediment
1007000790	acrisol
1007000806	plinthosol
1007000822	chicken breeding waste
1007000838	alluvial soil
1007000902	sewage plant
1007000934	anthropogenic abiotic mesoscopic feature
1007000950	threonine enriched soil
1007001030	karst field
1007001046	urea enriched soil
1007001062	mountain forest soil
1007001078	volcanic soil
1007001094	rhizosphere
1007001302	biotic mesoscopic physical object
1007001318	marine neritic benthic zone biome
1007001334	neritic sea surface microlayer biome
1007001350	marine algal bloom
1007001366	marine oligotrophic desert
1007001382	shelf-slope/shelf-break front
1007001398	marine benthic feature
1007001414	colloidal sediment
1007001430	organic matter fall
1007001446	sulphate-reducing sediment
1007001478	montane desert biome
1007001494	subtropical broadleaf forest biome
1007001510	mediterranean shrubland biome
1007001526	intermediate lava
1007001542	urban biome
1007001590	animal feed
1007001638	freshwater algal bloom
1007000007	second-order administrative region
1007000023	river
1007000039	lagoon
1007000055	saline marsh
1007000071	constructed feature
1007000087	plain
1007000103	cave entrance
1007000119	coconut plantation
1007000135	permafrost
1007000151	coral reef
1007000167	atoll
1007000183	plateau
1007000199	subglacial lake
1007000215	hadalpelagic zone
1007000231	coastal wetland
1007000247	volcanic crater
1007000263	steppe
1007000279	dry stream
1007000295	fish farm
1007000311	impact crater
1007000327	sea cave
1007000343	ice cap dome
1007000359	protected area
1007000375	wildlife management area
1007000391	land bridge
1007000407	subglacial volcano
1007000423	river island
1007000439	dell
1007000455	tarn
1007000471	flood control dam
1007000487	paternoster lake
1007000503	intermittent oxbow lake
1007000519	agricultural terrace
1007000535	weir
1007000551	endorheic basin
1007000567	calanque
1007000615	saline water
1007000631	cold temperature habitat
1007000647	surface water
1007000663	secondary sludge
1007000679	arsenic-rich mud
1007000695	beach sand
1007000711	radioactive sediment
1007000727	compost
1007000743	contaminated water
1007000759	organically contaminated sediment
1007000791	cambisol
1007000807	planosol
1007000823	industrial waste
1007000839	bagasse
1007000903	brine
1007000951	salicylate enriched soil
1007001015	creamery
1007001031	foam
1007001047	fertilized soil
1007001063	beech forest soil
1007001079	upland soil
1007001095	bulk soil
1007001111	surface
1007001303	abiotic mesoscopic physical object
1007001319	marine bathyal zone biome
1007001335	neritic epipelagic zone biome
1007001351	kelp forest
1007001367	oceanic gyre
1007001383	coastal upwelling front
1007001399	permanent marine thermocline
1007001415	marine hydrothermal vent
1007001431	plant matter fall
1007001447	carbon dioxide-reducing sediment
1007001479	polar desert biome
1007001495	temperate broadleaf forest biome
1007001511	xeric shrubland biome
1007001527	mafic lava
1007001543	hypodermic needle
1007001591	contaminated animal feed
1007001639	nest of termite
1007000008	third-order administrative region
1007000024	stream
1007000040	fjord
1007000056	saline evaporation pond
1007000072	fault cave
1007000088	cliff
1007000104	mangrove island
1007000120	planted forest
1007000136	buffer zone
1007000152	sabkha
1007000168	bar
1007000184	stony desert
1007000200	meromictic lake
1007000216	hydrothermal vent
1007000232	moor
1007000248	volcano
1007000264	fissure cave
1007000280	saline pan
1007000296	fish hatchery
