"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Tavera, Department of Geology and Geophysics","","Facultad de Ciencias Fisicas y Matematicas, Universidad de Chile, Santiago","","","","","",""
"Centro de Pesquisa Agroflorestal da Amazonia Oriental-Embrapa","","Embrapa Amaznia Oriental, Caixa Postal, 48 Belm, PA - Brasil CEP 66095-100","","","","","","Brazil"
"Institute for Plant Genetic Resources","","Institute for Plant Genetic Resources, 4122 Sadovo, Plovdiv Area, Bulgaria","","","","","","Bulgaria"
"Ulster Museum, Belfast","","153 Bangor Road, Cultra, Holywood, County Down, BT18 0EU, Northern Ireland","","","","","","United Kingdom"
"University of Canberra Wildlife Tissue Collection","","Institute for Applied Ecology, University of Canberra, ACT 2601 Australia.","","","","","","Australia"
"Ege - Microalgae Culture Collection","","Ege Universitesi Bilim Teknoloji Merkezi (EBILTEM), Izmir, Bornova, 35100","","","","","","Turkey"
"Natural Sciences Research Institute Culture Collection","","Southeast Corner Quirino Avenue and Velasquez Street, Quezon City, , 1101","","","","","","Philippines"
"Working Collection","","Center of Marine Biotechnology, 701 E. Pratt Street, Baltimore, MD, 21202","","","","","","USA"
"New Zealand Arthropod Collection","Robert Hoare","Landcare Research, Private Bag 92170, Auckland Mail Centre, Auckland 1142","","","Auckland","","","New Zealand"
"University of Alberta, E.H. Strickland Entomological Museum","","Rm. 218 Earth Sciences Building, University of Alberta, Alberta, Edmonton","","","","","","Canada"
"National Mycological Herbarium, Agriculture and Agri-Food Canada","","Wm. Saunders Building, Central Experimental Farm, Ottawa, Ontario K1A 0C6","","","","","","Canada"
"Muzeul National de Istorie Natural &quot;Grigore Antipa&quot;","","Bucuresti -National Museum of Natural History &quot;Grigore Antipa&quot;, Bucharest","","","","","","Romania"
"Museu Nacional, Universidade Federal do Rio de Janeiro","","Quinta da Boa Vista, So Cristvo, CEP 20940-040 Rio de Janeiro, RJ, Brazil","","","","","","Brazil"
"National Culture Collection of Pakistan","","National Agricultural Research Centre (NARC), Park Road, Islamabad-45500,","","","","","","Pakistan"
"Culture Collection of Phytopathogenic Fungi  (Colecao de Culturas de Fungos Fitopatogenicos Prof. Maria Menezes)","","Av. Dom Manoel de Medeiros, s/n - Dois Irmaos,Recife,Pernambuco,52171-900","","","","","","Brazil"
"Leishmania Type Culture Collection","Unknown Primary Contact","Av. Brasil, 4365 - Manguinhos","","","Rio de Janeiro","","21045-900","Brazil"
"Departamento de Patologia/ICB","","Campus Universitario, Estrada do Contorno, S/N, 69.000 Manaus, Amazonas,","","","","","","Brazil"
"Colecao de Culturas de Rhizobium da Fepagro","","Rua Goncalves Dias, 570, CEP90 130.060, Porto Alegre, Rio Grande do sul,","","","","","","Brazil"
"The Arthropod Museum, University of Arkansas","","Arkansas, Fayetteville, University of Arkansas, Department of Entomology","","","","","","USA"
"Lincoln University Entomology Research Museum","","Bio-Protection and Ecology Division, PO Box 84, Lincoln 7647, Canterbury","","","","","","New Zealand"
"University of Texas at Arlington","","Department of Biological Sciences, UTA Box 19489, Arlington, Texas 76019","","","","","","USA"
"Zoologisches Museum der Humboldt Universitaet","Thomas von Rintelen","Invalidenstr. 43","","","Berlin","","10115","Germany"
"RIKEN Cell Bank","","RIKEN Cell Bank, Koyodai 3-1-1, Tsukuba Science City, Ibaraki, 305-0074","","","","","","Japan"
"Collection of Marine Microorganisms","","Prospekt 100 Let Vladivostoku, 159, Vladivostok, Primorsky Kray, 690022","","","","","","Russia"
"USDA-ARS Rhizobium Germplasm Resource Collection","","SARL, HH-4, Bldg 010, 10300 Baltimore Blvd. Beltsville, Maryland, 20705","","","","","","USA"
"Tulane University, Museum of Natural History","","3705 Main St., F. Edward Hebert Research Center, Belle Chasse, LA 70037","","","","","","USA"
"National Taiwan Normal University","","Department of Life Science, 88 Ting-Chow Rd, Sec 4, Taipei, Taiwan, 116","","","","","","China"
"Colecao de Culturas de Fungos do Instituto Oswaldo Cruz","Unknown Primary Contact","Av. Brasil, 4365 Manguinhos","","","Rio de Janeiro","","21045-900","Brazil"
"New Zealand Reference Culture Collection, Medical Section","","ESR Kenepuru Science Centre, Kenepuru Drive, , Porirua, P.O.Box 50 348","","","","","","New Zealand"
"Centro de Investigaciones en Ciencias Veterinarias","","Las Cabanas Y Los Reseros, Villa Udaondo, Buenos Aires, 1708-C.C.No 77","","","","","","Argentina"
"Wadsworth Anaerobe Laboratory, Wadsworth Hospital Center","","Veterans Administration, Wilshire and Sawtelle Blvds., Los Angeles, CA","","","","","","USA"
"National Natural History Museum of the Ukraine","","Gosudarstvennij prirodovedceskij Muzej, Akademija Nauk Ukarinja, Kyjiv","","","","","","Ukraine"
"Marine Microbial Reference Facility","","National Institiute of Oceanography , Dona Paula - 403 004, Goa, India","","","","","","India"
"Naval Medical Research Center","","Naval Medical Research Center, 503 Robert Grant Ave, Silver Spring, MD","","","","","","USA"
"National Fungal Culture Collection of Pakistan","","Dept. Plant Pathology, University of Agri. ,Faisalabad, Punjab, 38040","","","","","","Pakistan"
"National Collection of Food Bacteria","","AFRC Institute of Food Research, Shinfield, Reading Berkshire RG2 9AT","","","","","","United Kingdom"
"Asian Bacterial Bank","","Samsung Biomedical Research Institute, Sungkyunkwan University, Seoul","","","","","","South Korea"
"Museu Nacional/Universidade Federal de Rio de Janeiro","","Quinta da Boa Vista, Sao Cristovao, CEP 20940-040, Rio de Janeiro, RJ","","","","","","Brazil"
"Paleontological Section of the Georgian Academy of Sciences","","Institute of Paleobiology of the Georgian Academy of Sciences,Tbilisi","","","","","","Georgia"
"The Belgian Co-ordinated Collections of Micro-organisms /BCCM/MUCL (Agro)Industrial Fungi and Yeasts Collection","","Mycothque de l'Universite catholique de Louvain, Place Croix du Sud 3","","","","","","Belgium"
"Pacific Bacterial Collection","","3190 Maile Way, St John Plant Science Building 315, Honolulu Hi 96822","","","","","",""
"University of Washington Culture Collection","","Biology Department, 203 Hitchcock Hall, Box 355320, Seattle, WA 98195","","","","","","USA"
"Colecao de Leishmania do Instituto Oswaldo Cruz","Unknown Primary Contact","Av. Brasil, 4365 - Manguinhos","","","Rio de Janeiro","","21040-360","Brazil"
"Strains Collection of Yunnan Institute of Microbiology, Yunnan University, China","","Yunnan University Institute of Microbiology, Kunming, Yunnan, 650091","","","","","","China"
"IIB-INTECH Collection of Fungal Cultures","","Camino de Circunvalacion laguna Km 6., Chascomus, Buenos Aires, 7130","","","","","","Argentina"
"Laboratorio de Doenca de Chagas","Unknown Primary Contact","Av. Augusto Lima, 1715, , 30.190 Belo Horizonte","","","Belo Horizonte","","Postal 1743","Brazil"
"Universidad de Oriente","","Centro de Invest. Cient. del Nucleo de Nueva Esparta, Isla Margarita","","","","","","Venezuela"
